livrooms_count,district,year,level,house_levels,const_tech,area,liv_area,kitchen_area,price,log_price
4,Советский,1970.0,1,5,панель,59.9,46.0,6.5,8089000,15.90601567200009
1,Автозаводский,1982.0,8,9,кирпич,20.3,11.4,4.5,3300000,15.009433026436708
2,Советский,2014.0,7,18,блок+утеплитель,54.8,26.0,11.0,13200000,16.3957273875566
2,Советский,1960.0,4,4,кирпич,56.0,33.0,8.0,6500000,15.687312734865866
2,Сормовский,1969.0,1,5,кирпич,45.0,30.0,6.4,4000000,15.201804919084164
3,Приокский,1987.0,5,12,кирпич,76.2,42.3,9.6,9000000,16.012735135300492
3,Канавинский,1968.0,8,9,панель,62.1,40.0,7.0,7000000,15.761420707019587
3,Приокский,1967.0,2,5,кирпич,62.0,48.4,5.9,5850000,15.58195221920804
3,Приокский,2025.0,9,18,блок+утеплитель,91.4,45.4,17.5,17823000,16.69600031600599
1,Приокский,2025.0,13,18,блок+утеплитель,48.8,17.7,14.9,10589600,16.1753829453817
2,Приокский,2025.0,11,18,блок+утеплитель,64.9,24.1,20.8,13304500,16.40361288183059
1,Приокский,2025.0,17,18,блок+утеплитель,48.8,17.7,14.9,10980000,16.21158599404566
3,Приокский,2025.0,10,18,блок+утеплитель,91.4,45.4,17.5,18280000,16.72131812399028
2,Приокский,2025.0,18,18,блок+утеплитель,64.6,24.7,16.9,16473000,16.61723323492912
3,Приокский,2025.0,8,18,блок+утеплитель,91.4,45.4,17.5,17640200,16.685690946347126
2,Приокский,2025.0,13,18,блок+утеплитель,68.8,32.4,16.0,14448000,16.486066554638903
2,Приокский,2025.0,13,18,блок+утеплитель,64.9,24.1,20.8,13629000,16.42771043340965
0,Приокский,2025.0,13,18,блок+утеплитель,42.9,25.9,0.0,9652500,16.082727507120527
3,Приокский,2025.0,11,18,блок+утеплитель,91.3,45.4,17.5,18351300,16.725210974642135
1,Приокский,2025.0,14,18,блок+утеплитель,48.8,17.7,14.9,10736000,16.1891131381936
2,Приокский,2025.0,11,18,блок+утеплитель,68.8,32.4,16.0,14448000,16.486066554638903
1,Приокский,2025.0,14,18,блок+утеплитель,48.8,17.7,14.9,10736000,16.1891131381936
